timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1636608023.99055,1 2 3,1 2 3,mermaid,mermaid,11.0529916286469,827,True,True
1636608037.99462,1 2 3,1 2 3,window360,window360,14.0001862049103,541,True,True
1636608058.53868,1 3 2,2 3 1,dab,dab,20.5401589870453,1573,True,False
1636608089.45259,2 3 1,2 3 1,cowboy,cowboy,30.9109675884247,16603,True,True
1636608112.6143,2 3 1,2 1 3,mermaid,mermaid,23.154883146286,2657,True,False
1636608135.26883,1 2 3,1 2 3,scarecrow,scarecrow,22.6525416374207,1157,True,True
1636608149.27229,1 2 3,1 2 3,jamesbond,jamesbond,13.9985837936401,1719,True,True
1636608170.11859,3 1 2,3 1 2,pushback,pushback,20.8433711528778,1145,True,True
1636608184.22231,3 1 2,3 1 2,scarecrow,scarecrow,14.1017310619354,1156,True,True
1636608205.16871,1 3 2,1 3 2,jamesbond,snake,20.9425015449524,1099,False,True
1636608219.77986,1 3 2,1 3 2,cowboy,cowboy,14.6062633991241,899,True,True
1636608241.4314,3 2 1,3 2 1,mermaid,mermaid,21.6486098766327,1350,True,True
1636608262.68021,2 3 1,1 3 2,dab,dab,21.2458760738373,958,True,False
1636608289.46999,1 3 2,1 3 2,jamesbond,snake,26.7868523597717,13421,False,True
1636608311.52708,3 1 2,3 1 2,dab,dab,22.0521912574768,1054,True,True
1636608333.986,2 3 1,2 3 1,dab,dab,22.4530634880066,664,True,True
1636608361.37908,2 3 1,1 3 2,jamesbond,jamesbond,27.3891775608063,1502,True,False
1636608386.36583,3 1 2,3 1 2,pushback,pushback,24.9828295707703,844,True,True
1636608407.31856,2 3 1,2 3 1,jamesbond,snake,20.9449114799499,914,False,True
1636608429.37645,2 3 1,2 1 3,pushback,pushback,22.0539915561676,2295,True,False
1636608450.42924,2 3 1,2 3 1,pushback,pushback,21.0479066371918,892,True,True
1636608468.66419,2 3 1,2 3 1,cowboy,cowboy,18.2320182323456,1244,True,True
1636608484.4896,2 3 1,2 3 1,window360,window360,15.8224947452545,1037,True,True
1636608499.31344,2 3 1,2 3 1,jamesbond,jamesbond,14.8130996227264,1881,True,True
1636608521.20907,2 3 1,1 3 2,scarecrow,scarecrow,21.8936505317688,2690,True,False
1636608543.67945,3 1 2,3 1 2,window360,window360,22.4664690494537,1197,True,True
1636608565.34392,2 1 3,1 2 3,scarecrow,scarecrow,21.6586110591888,891,True,False
1636608588.12359,1 2 3,2 1 3,jamesbond,snake,22.7699036598206,1235,False,False
1636608610.29356,2 3 1,2 3 1,mermaid,mermaid,22.1671814918518,1669,True,True
1636608623.60572,2 3 1,2 3 1,jamesbond,jamesbond,13.305323600769,1028,True,True
1636608643.6703,1 2 3,1 2 3,cowboy,cowboy,20.0587387084961,792,True,True
1636608666.25693,3 2 1,3 2 1,window360,window360,22.5837004184723,1547,True,True
