timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1636558953.5285387,3 1 2,3 1 2,cowboy,cowboy,19.12991762161255,1463.0000000000000,True,True
1636558975.6745603,2 1 3,2 1 3,scarecrow,scarecrow,22.1431303024292,1096.0000000000,True,True
1636559000.8323905,2 1 3,2 3 1,window360,window360,25.15585207939148,1135.0000000000,True,False
1636559021.7699528,3 2 1,3 2 1,scarecrow,scarecrow,20.934635162353516,1475.0000000000,True,True
1636559037.8773277,3 2 1,3 2 1,snake,snake,16.10542345046997,1467.00000000000000,True,True
1636559058.7166734,1 3 2,1 3 2,jamesbond,jamesbond,20.836389303207397,2280.0000000000,True,True
1636559080.7721078,1 2 3,1 2 3,window360,window360,22.05055260658264,1120.0000000000,True,True
1636559101.0178401,1 3 2,1 3 2,cowboy,cowboy,20.238900423049927,1378.0000000000000,True,True
1636559121.3611639,3 1 2,3 1 2,dab,dab,20.339393854141235,613.00000000000000000,True,True
1636559144.5310512,2 1 3,2 1 3,jamesbond,jamesbond,23.16696786880493,1937.0000000000,True,True
1636559164.5704286,1 2 3,1 2 3,pushback,pushback,20.033520936965942,1416.00000000000,True,True
1636559187.1232307,1 3 2,1 3 2,cowboy,window360,22.54792594909668,969.00000000000000,False,True
1636559208.1743534,3 2 1,3 2 1,window360,pushback,21.047220468521118,1219.0000000000,False,True
1636559230.238507,3 1 2,3 1 2,cowboy,snake,22.05927586555481,1546.0000000000000,False,True
1636559247.8682003,3 1 2,3 1 2,cowboy,snake,17.625792264938354,3068.0000000000000,False,True
1636559269.41823,2 3 1,2 3 1,mermaid,mermaid,21.546095609664917,976.0000000000000,True,True
1636559290.462936,1 3 2,1 3 2,mermaid,mermaid,21.041778802871704,791.0000000000000,True,True
1636559311.5082521,1 2 3,1 2 3,window360,window360,21.043371200561523,1149.0000000000,True,True
1636559330.64039,1 3 2,1 3 2,jamesbond,jamesbond,19.129210233688354,2659.0000000000,True,True
1636559351.589689,3 2 1,2 1 3,mermaid,mermaid,20.94540023803711,983.0000000000000,True,False
1636559374.148817,3 2 1,3 1 2,pushback,pushback,22.5571768283844,2220.00000000000,True,False
1636559393.598264,1 3 2,1 3 2,cowboy,cowboy,19.44553852081299,1178.0000000000000,True,True
1636559409.8184721,1 3 2,1 3 2,pushback,pushback,16.216307163238525,1624.00000000000,True,True
1636559423.7242079,1 3 2,1 3 2,dab,dab,13.901832103729248,326.00000000000000000,True,True
1636559444.473391,2 1 3,2 1 3,mermaid,mermaid,20.74723243713379,469.0000000000000,True,True
1636559464.423845,1 2 3,1 2 3,cowboy,cowboy,19.944596767425537,166.00000000000000,True,True
1636559486.7969494,2 3 1,2 3 1,scarecrow,scarecrow,22.37112307548523,755.00000000000,True,True
1636559509.6739466,1 3 2,1 3 2,scarecrow,scarecrow,22.869202852249146,2117.0000000000,True,True
1636559531.2381682,1 2 3,1 2 3,dab,dab,21.559329986572266,835.00000000000000000,True,True
1636559551.2918348,3 1 2,3 1 2,cowboy,snake,20.04976511001587,2395.0000000000000,False,True
1636559572.050882,1 2 3,1 2 3,dab,dab,20.75612473487854,1124.,True,True
1636559593.9168243,2 3 1,2 3 1,jamesbond,jamesbond,21.863024950027466,1076.0000000000,True,True
